TAT(C),Pressure Altitude(ft),N1(%)
60,0,90.2
55,0,91
50,0,91.7
45,0,92.4
40,0,93.1
35,0,93.6
30,0,92.9
25,0,92.2
20,0,91.4
15,0,90.6
10,0,89.9
5,0,89.1
0,0,88.3
-5,0,87.6
-10,0,86.8
-15,0,86
-20,0,85.2
-25,0,84.3
-30,0,83.5
-35,0,82.7
-40,0,81.8
60,5000,90.5
55,5000,91.2
50,5000,92
45,5000,92.6
40,5000,93.3
35,5000,94
30,5000,94.8
25,5000,94.8
20,5000,94
15,5000,93.2
10,5000,92.5
5,5000,91.7
0,5000,90.9
-5,5000,90.1
-10,5000,89.3
-15,5000,88.5
-20,5000,87.6
-25,5000,86.8
-30,5000,86
-35,5000,85.1
-40,5000,84.3
60,10000,90.4
55,10000,91.3
50,10000,92.1
45,10000,92.8
40,10000,93.6
35,10000,94.3
30,10000,95
25,10000,95.7
20,10000,96.5
15,10000,95.9
10,10000,95.1
5,10000,94.3
0,10000,93.5
-5,10000,92.7
-10,10000,91.9
-15,10000,91
-20,10000,90.2
-25,10000,89.4
-30,10000,88.5
-35,10000,87.7
-40,10000,86.8
60,15000,90.6
55,15000,91.4
50,15000,92.2
45,15000,93
40,15000,93.8
35,15000,94.5
30,15000,95.2
25,15000,95.9
20,15000,96.7
15,15000,97.5
10,15000,97.8
5,15000,97
0,15000,96.2
-5,15000,95.4
-10,15000,94.6
-15,15000,93.8
-20,15000,93
-25,15000,92.2
-30,15000,91.3
-35,15000,90.5
-40,15000,89.6
60,20000,90.4
55,20000,90.8
50,20000,91.7
45,20000,92.6
40,20000,93.4
35,20000,94.3
30,20000,95.1
25,20000,95.9
20,20000,96.6
15,20000,97.4
10,20000,98.3
5,20000,99.2
0,20000,98.6
-5,20000,97.8
-10,20000,97.1
-15,20000,96.3
-20,20000,95.5
-25,20000,94.7
-30,20000,93.9
-35,20000,93.1
-40,20000,92.3
60,25000,92.1
55,25000,91.5
50,25000,91.5
45,25000,92.4
40,25000,93.2
35,25000,94
30,25000,94.8
25,25000,95.5
20,25000,96.2
15,25000,96.9
10,25000,97.7
5,25000,98.6
0,25000,99.6
-5,25000,99.6
-10,25000,98.8
-15,25000,98
-20,25000,97.2
-25,25000,96.4
-30,25000,95.6
-35,25000,94.8
-40,25000,93.9
60,30000,93.8
55,30000,93.1
50,30000,92.4
45,30000,92.4
40,30000,93.2
35,30000,94
30,30000,94.7
25,30000,95.4
20,30000,96.1
15,30000,96.7
10,30000,97.4
5,30000,98.1
0,30000,99.1
-5,30000,100
-10,30000,100.3
-15,30000,99.6
-20,30000,98.7
-25,30000,97.9
-30,30000,97.1
-35,30000,96.3
-40,30000,95.4
60,35000,95.1
55,35000,94.4
50,35000,93.7
45,35000,93
40,35000,92.3
35,35000,93
30,35000,93.9
25,35000,94.7
20,35000,95.4
15,35000,96.2
10,35000,96.9
5,35000,97.7
0,35000,98.5
-5,35000,99.2
-10,35000,100.2
-15,35000,101.1
-20,35000,100.8
-25,35000,100
-30,35000,99.1
-35,35000,98.3
-40,35000,97.4
60,37000,95.2
55,37000,94.5
50,37000,93.8
45,37000,93.1
40,37000,92.4
35,37000,92.4
30,37000,93.3
25,37000,94.1
20,37000,94.9
15,37000,95.7
10,37000,96.5
5,37000,97.3
0,37000,98.2
-5,37000,99
-10,37000,99.8
-15,37000,100.8
-20,37000,101.3
-25,37000,100.5
-30,37000,99.6
-35,37000,98.8
-40,37000,97.9
60,41000,93.5
55,41000,92.8
50,41000,92.1
45,41000,91.4
40,41000,90.7
35,41000,90.8
30,41000,91.8
25,41000,92.8
20,41000,93.7
15,41000,94.6
10,41000,95.6
5,41000,96.5
0,41000,97.5
-5,41000,98.4
-10,41000,99.4
-15,41000,100.4
-20,41000,101
-25,41000,100.1
-30,41000,99.3
-35,41000,98.4
-40,41000,97.6